InvoiceId,OrderDate,ProductId,CustomerId,ShipMode,Quantity,Sales,Profit,Discount,TotalAmount
1,2025-09-24,336,1052,Same Day,4,1800000,368000,0,1800000
2,2025-03-20,376,1682,Standard Class,1,320000,103000,0,320000
3,2025-10-18,174,1862,Second Class,2,360000,86000,0,360000
4,2025-10-20,425,379,Standard Class,1,680000,138000,0.05,646000
5,2025-01-02,434,1103,First Class,4,1280000,326000,0,1280000
6,2025-05-20,121,1597,Second Class,1,920000,212000,0,920000
7,2025-11-02,402,620,Standard Class,1,250000,78000,0,250000
8,2025-11-08,55,2411,First Class,4,1000000,286000,0.05,950000
9,2025-08-30,195,1758,Standard Class,1,920000,239000,0.05,874000
10,2025-06-08,110,1070,First Class,2,1840000,483000,0.1,1656000
11,2025-11-28,121,870,Second Class,1,680000,172000,0,680000
12,2025-07-29,337,1149,First Class,2,240000,52000,0,240000
13,2025-04-05,2,1281,Same Day,2,900000,303000,0,900000
14,2025-06-13,438,25,Same Day,3,960000,294000,0,960000
15,2025-11-30,329,2355,Same Day,4,1280000,268000,0,1280000
16,2025-02-27,257,567,Same Day,1,180000,41000,0,180000
17,2025-01-06,98,1017,Standard Class,4,1280000,272000,0,1280000
18,2025-04-20,450,824,Same Day,1,320000,81000,0,320000
19,2025-10-13,215,681,Standard Class,3,360000,85000,0.05,342000
20,2025-05-11,157,2493,Same Day,4,2720000,745000,0.05,2584000
21,2025-01-10,132,2255,Second Class,3,3750000,1070000,0,3750000
22,2025-01-27,271,440,Same Day,3,1350000,427000,0,1350000
23,2025-02-06,121,1750,Same Day,3,960000,297000,0,960000
24,2025-02-17,402,1191,Standard Class,4,2720000,504000,0,2720000
25,2025-05-31,30,1067,Second Class,3,960000,309000,0,960000
26,2025-04-29,157,1438,Second Class,2,1840000,574000,0,1840000
27,2025-11-14,146,2132,First Class,2,240000,52000,0,240000
28,2025-03-23,35,843,Same Day,1,450000,133000,0.1,405000
29,2025-02-21,238,1929,Same Day,1,180000,41000,0.1,162000
30,2025-03-16,149,372,Same Day,2,640000,171000,0,640000
31,2025-04-28,396,910,Standard Class,1,450000,137000,0,450000
32,2025-04-07,301,1142,Same Day,1,120000,37000,0.05,114000
33,2025-04-18,73,2300,Same Day,3,960000,259000,0.05,912000
34,2025-08-06,152,1339,Second Class,2,360000,81000,0,360000
35,2025-05-25,279,2182,First Class,4,1000000,274000,0.05,950000
36,2025-11-18,378,703,First Class,3,3750000,717000,0,3750000
37,2025-05-27,103,809,First Class,1,920000,275000,0,920000
38,2025-06-06,412,1391,Second Class,4,480000,78000,0.1,432000
39,2025-12-21,265,931,Second Class,4,720000,203000,0,720000
40,2025-09-05,321,182,Standard Class,2,2500000,712000,0.05,2375000
41,2025-04-01,321,629,Same Day,1,1250000,351000,0,1250000
42,2025-03-12,148,2165,Second Class,1,120000,26000,0,120000
43,2025-06-12,157,1381,Same Day,2,240000,63000,0,240000
44,2025-01-26,173,239,Same Day,3,750000,138000,0,750000
45,2025-01-03,481,566,Same Day,1,320000,93000,0,320000
46,2025-09-18,61,1467,Same Day,3,3750000,891000,0,3750000
47,2025-08-02,255,2334,Standard Class,3,2040000,394000,0.1,1836000
48,2025-01-06,344,139,Same Day,4,1800000,418000,0.05,1710000
49,2025-04-25,359,274,Same Day,1,250000,83000,0,250000
50,2025-04-20,458,1759,Second Class,4,1800000,334000,0.05,1710000
51,2025-01-21,321,749,First Class,3,540000,131000,0,540000
52,2025-06-29,15,1361,First Class,4,720000,175000,0.05,684000
53,2025-01-07,332,746,Same Day,1,450000,137000,0,450000
54,2025-05-15,47,1176,Same Day,3,2760000,671000,0,2760000
55,2025-07-25,306,2389,First Class,3,750000,230000,0.05,712000
56,2025-05-17,473,1500,First Class,4,1280000,365000,0.1,1152000
57,2025-12-26,450,1839,Same Day,4,2720000,625000,0,2720000
58,2025-08-23,15,586,First Class,3,540000,178000,0.05,513000
59,2025-07-21,48,1850,Same Day,3,2760000,610000,0.1,2484000
60,2025-01-10,413,2211,Same Day,4,720000,119000,0.1,648000
61,2025-07-26,135,251,First Class,4,1280000,337000,0,1280000
62,2025-05-01,400,539,Same Day,1,450000,147000,0,450000
63,2025-11-08,297,982,Standard Class,2,900000,176000,0.1,810000
64,2025-03-10,483,1390,Standard Class,4,5000000,1633000,0.05,4750000
65,2025-01-23,300,1089,Same Day,2,640000,174000,0,640000
66,2025-08-08,336,2399,First Class,2,900000,221000,0.05,855000
67,2025-07-08,126,2094,Standard Class,1,120000,41000,0,120000
68,2025-06-06,352,1029,Standard Class,3,2760000,749000,0,2760000
69,2025-08-31,182,2404,First Class,4,1280000,339000,0,1280000
70,2025-10-22,194,689,Standard Class,3,1350000,440000,0,1350000
71,2025-12-08,253,979,Second Class,1,920000,313000,0,920000
72,2025-05-26,120,145,Same Day,3,750000,246000,0,750000
73,2025-10-21,412,577,First Class,2,640000,133000,0,640000
74,2025-10-12,321,812,First Class,4,5000000,1744000,0,5000000
75,2025-07-02,445,1950,Same Day,3,3750000,1111000,0,3750000
76,2025-04-12,225,579,Same Day,3,1350000,396000,0,1350000
77,2025-10-01,145,156,Same Day,4,3680000,1036000,0.1,3312000
78,2025-10-06,357,1869,First Class,4,1000000,231000,0.1,900000
79,2025-03-31,202,2479,Standard Class,1,120000,30000,0,120000
80,2025-04-04,284,1363,Same Day,3,2040000,540000,0.05,1938000
81,2025-11-12,196,2389,Same Day,4,3680000,717000,0.1,3312000
82,2025-11-22,305,710,Same Day,2,900000,232000,0.05,855000
83,2025-04-06,418,1949,Standard Class,2,240000,61000,0,240000
84,2025-10-14,173,1012,Same Day,1,320000,85000,0,320000
85,2025-05-18,123,30,Second Class,2,240000,78000,0,240000
86,2025-12-19,325,2301,Second Class,4,720000,229000,0.05,684000
87,2025-01-25,319,1086,First Class,4,1800000,546000,0,1800000
88,2025-05-07,299,1823,First Class,3,2760000,579000,0.05,2622000
89,2025-07-09,54,1837,Second Class,2,1360000,332000,0.1,1224000
90,2025-06-22,207,1861,First Class,4,2720000,735000,0.05,2584000
91,2025-06-20,83,2299,Second Class,3,960000,274000,0.1,864000
92,2025-10-25,195,2443,Standard Class,2,1840000,515000,0.1,1656000
93,2025-09-23,336,1078,Second Class,4,1000000,179000,0.1,900000
94,2025-04-13,35,560,Standard Class,3,960000,285000,0.05,912000
95,2025-07-22,198,939,First Class,2,500000,90000,0.1,450000
96,2025-10-03,152,393,Second Class,2,360000,104000,0,360000
97,2025-09-30,208,1194,First Class,2,240000,49000,0.05,228000
98,2025-09-16,429,1358,Same Day,4,2720000,804000,0,2720000
99,2025-12-23,31,1632,Second Class,4,5000000,1344000,0,5000000
100,2025-02-09,31,2183,Same Day,4,5000000,1155000,0,5000000
101,2025-02-23,441,572,First Class,1,920000,188000,0,920000
102,2025-02-07,377,556,Standard Class,2,1840000,487000,0.1,1656000
103,2025-03-28,188,2325,First Class,4,2720000,820000,0,2720000
104,2025-06-08,255,1653,Second Class,4,1000000,287000,0.1,900000
105,2025-06-26,91,1065,Second Class,2,640000,168000,0.1,576000
106,2025-06-27,220,916,Standard Class,4,480000,138000,0,480000
107,2025-11-03,49,291,Same Day,3,3750000,757000,0.05,3562000
108,2025-05-22,91,733,Same Day,4,1000000,300000,0,1000000
109,2025-04-09,332,349,First Class,1,250000,57000,0.1,225000
110,2025-04-11,248,831,Same Day,2,1360000,260000,0.1,1224000
111,2025-10-22,283,1762,First Class,2,360000,95000,0,360000
112,2025-03-09,222,2011,Second Class,2,1840000,416000,0,1840000
113,2025-07-27,296,1898,Same Day,2,2500000,698000,0.05,2375000
114,2025-10-10,20,481,Second Class,1,680000,212000,0.05,646000
115,2025-03-09,286,1785,Second Class,4,720000,184000,0.1,648000
116,2025-04-30,60,1343,Standard Class,3,360000,94000,0.05,342000
117,2025-07-26,265,2395,Same Day,2,240000,63000,0,240000
118,2025-11-24,317,1547,First Class,3,2040000,711000,0,2040000
119,2025-06-21,150,1707,Second Class,1,180000,36000,0,180000
120,2025-02-20,123,152,Same Day,3,2760000,659000,0,2760000
121,2025-09-04,194,555,Second Class,1,450000,96000,0,450000
122,2025-12-02,60,971,Same Day,4,1800000,516000,0,1800000
123,2025-12-05,233,1019,First Class,3,2040000,662000,0,2040000
124,2025-06-20,257,751,First Class,4,1280000,252000,0.05,1216000
125,2025-06-24,7,660,Same Day,2,360000,75000,0,360000
126,2025-03-19,151,530,Standard Class,1,250000,47000,0.1,225000
127,2025-08-21,227,296,Same Day,1,120000,36000,0,120000
128,2025-09-09,440,1523,Second Class,3,540000,128000,0,540000
129,2025-03-17,423,38,Same Day,3,750000,142000,0.1,675000
130,2025-10-02,60,1276,First Class,1,250000,78000,0,250000
131,2025-03-20,480,2292,First Class,1,320000,52000,0.1,288000
132,2025-05-21,20,480,Standard Class,4,1280000,333000,0.1,1152000
133,2025-12-13,474,75,Same Day,4,480000,149000,0,480000
134,2025-04-11,223,2258,First Class,1,120000,40000,0,120000
135,2025-09-24,66,281,First Class,4,720000,189000,0.1,648000
136,2025-06-28,40,396,Same Day,1,450000,116000,0,450000
137,2025-12-25,431,1657,Standard Class,4,720000,160000,0,720000
138,2025-08-24,5,73,Standard Class,4,1800000,434000,0.1,1620000
139,2025-11-20,217,2035,Standard Class,4,1280000,302000,0.05,1216000
140,2025-09-17,463,986,Second Class,1,1250000,370000,0.1,1125000
141,2025-08-23,427,1491,First Class,3,540000,121000,0.1,486000
142,2025-04-01,46,765,First Class,4,480000,102000,0,480000
143,2025-11-23,104,1891,Same Day,4,1280000,385000,0,1280000
144,2025-01-29,172,2084,Standard Class,1,250000,78000,0,250000
145,2025-03-19,336,740,Second Class,2,640000,126000,0,640000
146,2025-11-05,363,354,Standard Class,4,3680000,1193000,0.05,3496000
147,2025-02-19,357,906,Second Class,4,480000,116000,0.05,456000
148,2025-11-19,451,2439,Second Class,1,250000,46000,0,250000
149,2025-11-05,390,19,Same Day,4,2720000,707000,0.05,2584000
150,2025-06-26,115,1165,Standard Class,4,2720000,730000,0.1,2448000
151,2025-07-29,374,1390,Second Class,3,960000,244000,0.1,864000
152,2025-12-22,419,1819,Standard Class,2,900000,167000,0.1,810000
153,2025-07-03,156,1625,Standard Class,3,3750000,743000,0.05,3562000
154,2025-06-12,60,1564,Second Class,2,1840000,363000,0.05,1748000
155,2025-07-24,200,2371,Same Day,4,1800000,342000,0,1800000
156,2025-04-19,439,1508,First Class,3,540000,109000,0,540000
157,2025-12-13,290,2415,Second Class,2,360000,62000,0.05,342000
158,2025-05-16,321,1702,Second Class,4,2720000,950000,0,2720000
159,2025-04-08,57,463,Second Class,2,240000,68000,0,240000
160,2025-10-13,22,1414,Same Day,3,3750000,808000,0.1,3375000
161,2025-10-04,268,1079,Same Day,1,920000,262000,0,920000
162,2025-01-04,104,1753,First Class,2,360000,90000,0,360000
163,2025-01-29,17,756,Second Class,3,2760000,738000,0.05,2622000
164,2025-07-24,478,741,Same Day,2,900000,249000,0.05,855000
165,2025-12-06,247,2316,Second Class,2,900000,179000,0.05,855000
166,2025-12-07,465,1272,First Class,1,250000,65000,0,250000
167,2025-10-06,31,1918,First Class,1,920000,250000,0,920000
168,2025-01-29,88,1890,Same Day,1,180000,36000,0,180000
169,2025-09-08,476,1196,Standard Class,4,1000000,339000,0,1000000
170,2025-09-14,427,1868,Standard Class,2,500000,110000,0.05,475000
171,2025-01-08,41,1136,Standard Class,4,2720000,751000,0,2720000
172,2025-12-05,67,319,Same Day,3,360000,95000,0.05,342000
173,2025-07-22,177,1219,Second Class,4,2720000,894000,0,2720000
174,2025-07-09,271,1432,First Class,3,1350000,297000,0.1,1215000
175,2025-08-16,444,2423,Standard Class,1,680000,166000,0,680000
176,2025-05-26,284,2171,Same Day,1,320000,77000,0.05,304000
177,2025-04-08,324,44,Same Day,1,120000,30000,0,120000
178,2025-08-22,369,1887,Second Class,2,240000,59000,0,240000
179,2025-07-26,458,644,Second Class,1,680000,194000,0,680000
180,2025-04-10,274,976,Second Class,3,960000,255000,0,960000
181,2025-04-20,261,493,Second Class,1,320000,97000,0,320000
182,2025-03-29,389,349,Same Day,2,360000,107000,0,360000
183,2025-08-03,352,414,Same Day,4,1800000,362000,0.1,1620000
184,2025-06-02,62,1128,Second Class,3,2040000,470000,0,2040000
185,2025-11-15,242,2253,Standard Class,1,450000,135000,0,450000
186,2025-07-30,258,2041,Second Class,4,720000,251000,0,720000
187,2025-04-12,423,379,Second Class,1,920000,269000,0.05,874000
188,2025-07-20,203,2445,Second Class,3,2760000,871000,0.05,2622000
189,2025-05-08,453,2245,Standard Class,3,3750000,889000,0,3750000
190,2025-12-31,165,1510,Same Day,2,360000,89000,0.1,324000
191,2025-03-02,488,798,Second Class,2,640000,141000,0.1,576000
192,2025-09-10,483,1382,Same Day,4,1000000,274000,0,1000000
193,2025-02-16,151,1174,First Class,2,1840000,579000,0,1840000
194,2025-02-27,135,2372,First Class,2,900000,254000,0.1,810000
195,2025-06-12,330,896,Second Class,1,680000,197000,0.05,646000
196,2025-07-18,53,195,Second Class,4,1280000,241000,0,1280000
197,2025-09-11,83,2151,Same Day,3,2760000,587000,0,2760000
198,2025-10-22,31,1576,Standard Class,2,1360000,343000,0.05,1292000
199,2025-02-28,355,1430,First Class,1,120000,36000,0.05,114000
200,2025-11-20,396,792,Same Day,4,1800000,499000,0,1800000
201,2025-09-19,356,1917,Standard Class,1,180000,44000,0,180000
202,2025-10-22,109,790,First Class,1,320000,76000,0,320000
203,2025-11-01,129,1113,Second Class,1,1250000,293000,0.1,1125000
204,2025-05-06,495,2105,Second Class,4,480000,126000,0,480000
205,2025-03-09,189,332,First Class,4,2720000,726000,0.05,2584000
206,2025-09-01,213,617,Standard Class,1,320000,104000,0,320000
207,2025-05-30,6,1969,Standard Class,4,1280000,298000,0,1280000
208,2025-04-01,489,2266,Second Class,4,1800000,313000,0.1,1620000
209,2025-02-09,405,1331,First Class,1,250000,53000,0.05,238000
