loc,lloc,scloc,comments,single_comments,multi_comments,blanks,h1,h2,n1,n2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,Experince Based ,LargeClass,smell_type
235,131,136,9,9,60,30,7,35,21,41,42,62,199.17639,334.3236802,4.1,1370.727089,76.15150494,0.111441227,1.0,,LongMethod
162,64,67,20,20,49,26,9,28,19,38,37,57,163.1352628,296.9388418,6.107142857,1813.447927,100.7471071,0.098979614,1.0,,LongMethod
56,49,47,2,1,0,8,7,27,20,37,34,57,148.033447,289.985382,4.796296296,1390.855813,77.26976741,0.096661794,1.0,,LongMethod
49,23,45,3,3,0,1,1,3,2,4,4,6,4.754887502,12.0,0.666666667,8.0,0.444444444,0.004,1.0,,LongMethod
166,128,119,23,23,0,24,15,76,58,109,91,167,533.44585,1086.801705,10.75657895,11690.26834,649.4593522,0.362267235,1.0,,LongMethod
84,59,59,3,3,16,6,2,10,8,16,12,24,35.21928095,86.03910002,1.6,137.66256,7.647920002,0.0286797,1.0,,LongMethod
79,57,59,5,5,0,15,2,8,4,8,10,12,26.0,39.86313714,1.0,39.86313714,2.21461873,0.013287712,1.0,,LongMethod
62,41,47,5,5,0,10,1,4,2,4,5,6,8.0,13.93156857,0.5,6.965784285,0.386988016,0.004643856,1.0,,LongMethod
148,83,108,19,19,0,21,4,28,26,52,32,78,142.6059378,390.0,3.714285714,1448.571429,80.47619048,0.13,1.0,,LongMethod
106,74,74,13,13,0,19,5,22,22,41,27,63,109.7171361,299.5579126,4.659090909,1395.667548,77.53708597,0.099852638,1.0,,LongMethod
53,53,43,3,3,0,7,8,17,19,32,25,51,93.4868683,236.8366657,7.529411765,1783.240777,99.06893205,0.078945555,1.0,,LongMethod
68,56,56,6,6,0,6,3,7,8,10,10,18,24.40637196,59.79470571,2.142857143,128.1315122,7.118417346,0.019931569,1.0,,LongMethod
70,43,57,9,9,0,4,1,16,14,28,17,42,64.0,171.6734393,0.875,150.2142594,8.345236634,0.05722448,1.0,,LongMethod
74,29,57,12,12,0,5,4,25,21,42,29,63,124.0964047,306.0528027,3.36,1028.337417,57.1298565,0.102017601,1.0,,LongMethod
73,49,52,18,18,0,3,1,7,4,8,8,12,19.65148445,36.0,0.571428571,20.57142857,1.142857143,0.012,1.0,,LongMethod
59,50,45,9,9,0,5,4,9,9,16,13,25,36.52932501,92.51099295,3.555555556,328.9279749,18.27377639,0.030836998,1.0,,LongMethod
64,30,58,3,3,0,3,2,9,9,15,11,24,30.52932501,83.02635885,1.666666667,138.3772647,7.687625819,0.027675453,1.0,,LongMethod
128,88,110,9,9,0,9,2,17,14,28,19,42,71.4868683,178.4129556,1.647058824,293.8566327,16.32536848,0.059470985,1.0,,LongMethod
165,132,141,12,12,0,12,3,16,26,52,19,78,68.7548875,331.338346,4.875,1615.274437,89.73746872,0.110446115,1.0,,LongMethod
89,40,43,7,7,30,9,7,21,11,21,28,32,111.8901503,153.8353575,3.5,538.4237513,29.91243063,0.051278453,1.0,,LongMethod
64,45,47,7,7,0,10,6,16,11,21,22,32,79.509775,142.7018118,3.9375,561.8883839,31.21602133,0.047567271,1.0,,LongMethod
119,93,92,12,12,0,15,9,29,20,35,38,55,169.4107739,288.6360132,5.431034483,1567.592141,87.08845227,0.096212004,1.0,,LongMethod
76,48,57,0,0,0,19,5,71,65,130,76,195,448.241686,1218.345865,4.577464789,5576.935298,309.8297388,0.406115288,1.0,,LongMethod
61,51,53,0,0,3,5,6,20,12,22,26,34,101.9483369,159.8149504,3.3,527.3893364,29.29940758,0.05327165,1.0,,LongMethod
57,63,56,0,0,0,1,5,25,15,29,30,44,127.7060452,215.9031862,2.9,626.11924,34.78440222,0.071967729,1.0,,LongMethod
54,54,49,5,4,0,1,9,25,21,35,34,56,144.6257298,284.8979191,6.3,1794.85689,99.71427169,0.094965973,1.0,,LongMethod
65,63,63,0,0,0,2,5,43,24,48,48,72,244.9390249,402.1173001,2.790697674,1122.187814,62.34376745,0.1340391,1.0,,LongMethod
99,81,85,7,6,7,1,7,42,23,45,49,68,246.1288162,381.8002694,3.75,1431.75101,79.54172279,0.127266756,1.0,,LongMethod
75,60,67,2,2,5,1,5,41,22,44,46,66,231.2692727,364.5550891,2.682926829,978.0746293,54.33747941,0.121518363,1.0,,LongMethod
80,63,75,0,0,4,1,6,29,16,33,35,49,156.3912239,251.3348678,3.413793103,858.0052385,47.66695769,0.083778289,1.0,,LongMethod
125,100,118,2,2,0,5,8,86,55,110,94,165,576.6587689,1081.507161,5.11627907,5533.292449,307.4051361,0.360502387,1.0,,LongMethod
63,64,62,0,0,0,1,5,26,22,43,31,65,133.8210731,322.0227602,4.134615385,1331.440258,73.96890325,0.10734092,1.0,,LongMethod
77,87,77,0,0,0,0,7,56,30,59,63,89,344.8633601,531.9779132,3.6875,1961.668555,108.9815864,0.177325971,1.0,,LongMethod
230,224,208,21,11,6,5,14,136,100,184,150,284,1017.197915,2052.984508,9.470588235,19442.97093,1080.165052,0.684328169,1.0,,LongMethod
135,118,127,3,0,6,2,12,61,76,134,73,210,404.7945276,1299.863157,13.18032787,17132.6226,951.8123666,0.433287719,1.0,,LongMethod
459,495,435,21,15,0,9,17,249,222,424,266,646,2051.527349,5203.712453,14.47389558,75317.99069,4184.332816,1.734570818,1.0,,LongMethod
127,131,125,0,0,0,2,11,113,73,134,124,207,808.7339706,1439.518636,6.522123894,9388.718893,521.5954941,0.479839545,1.0,,LongMethod
46,49,45,1,1,0,0,5,21,15,26,26,41,103.8483064,192.7180284,3.095238095,596.5081833,33.13934352,0.064239343,1.0,,LongMethod
95,86,81,9,7,5,2,9,65,43,80,74,123,419.9832329,763.762764,5.538461538,4230.070693,235.0039274,0.254587588,1.0,,LongMethod
45,45,42,3,2,0,1,7,30,17,34,37,51,166.8582023,265.6821216,3.966666667,1053.872416,58.54846755,0.088560707,1.0,,LongMethod
103,144,96,0,0,0,7,10,155,130,235,165,365,1161.018564,2688.707608,7.580645161,20382.13832,1132.341018,0.896235869,1.0,,LongMethod
56,48,54,2,1,0,1,8,28,16,29,36,45,158.6059378,232.6466251,4.142857143,963.8217324,53.5456518,0.077548875,1.0,,LongMethod
323,317,305,14,10,0,8,10,244,156,299,254,455,1968.319191,3634.851532,6.12704918,22270.9141,1237.273006,1.211617177,1.0,,LongMethod
70,67,67,2,2,0,1,8,60,43,84,68,127,378.4134357,773.1077808,5.6,4329.403573,240.5224207,0.257702594,1.0,,LongMethod
120,113,111,3,3,5,1,6,122,73,145,128,218,861.0597302,1526.0,3.56557377,5441.065574,302.2814208,0.508666667,1.0,,LongMethod
138,127,132,0,0,0,6,4,26,15,31,30,46,130.2114327,225.7169674,2.384615385,538.248153,29.90267517,0.075238989,1.0,,LongMethod
95,137,93,0,0,0,2,8,65,54,98,73,152,415.4539078,940.8533329,6.030769231,5674.069331,315.2260739,0.313617778,1.0,,LongMethod
174,149,145,6,5,3,21,12,47,39,76,59,115,304.085226,676.5039507,9.70212766,6563.527692,364.6404273,0.225501317,1.0,,LongMethod
162,155,153,5,5,0,4,8,112,63,119,120,182,786.4237513,1257.054088,4.25,5342.479876,296.8044375,0.419018029,1.0,,LongMethod
48,46,46,0,0,0,2,6,49,28,56,55,84,290.6305574,485.6342159,3.428571429,1665.031597,92.50175542,0.161878072,1.0,,LongMethod
103,96,89,4,4,0,10,6,47,29,55,53,84,276.575451,481.1453182,3.510638298,1689.127181,93.84039894,0.160381773,1.0,,LongMethod
79,66,64,4,4,0,11,5,26,17,31,31,48,133.8210731,237.8014229,2.980769231,708.8311644,39.37950913,0.079267141,1.0,,LongMethod
164,69,70,3,3,72,19,13,31,31,57,44,88,201.685802,480.4299824,11.9516129,5741.913177,318.9951765,0.160143327,1.0,,LongMethod
194,95,98,28,26,43,27,15,50,43,79,65,122,340.7961684,734.7288732,11.85,8706.537147,483.6965082,0.244909624,1.0,,LongMethod
170,77,80,22,21,39,30,11,51,48,84,62,132,327.3474402,785.953913,9.058823529,7119.8178,395.5454333,0.261984638,1.0,,LongMethod
137,70,73,16,16,42,6,5,16,12,22,21,34,75.60964047,149.3387924,3.4375,513.3520988,28.51956104,0.049779597,1.0,,LongMethod
90,47,47,4,4,34,5,8,17,14,24,25,38,93.4868683,176.4665352,5.647058824,996.5169047,55.36205026,0.058822178,1.0,,LongMethod
168,89,87,26,26,44,11,13,59,61,113,72,174,395.1816562,1073.56695,12.44915254,13364.99873,742.4999293,0.35785565,1.0,,LongMethod
114,53,53,3,3,46,12,9,25,30,56,34,86,144.6257298,437.5218043,10.08,4410.219788,245.0122104,0.145840601,1.0,,LongMethod
20,13,13,2,2,0,5,3,6,3,6,9,9,20.26466251,28.52932501,1.5,42.79398752,2.377443751,0.009509775,1.0,,LongMethod
89,77,77,6,6,3,3,10,29,33,60,39,93,174.1007298,491.5424064,10.34482759,5084.921445,282.4956358,0.163847469,1.0,,LongMethod
131,44,42,0,0,74,15,13,48,41,78,61,119,316.1839164,705.7577432,10.5625,7454.566162,414.1425646,0.235252581,1.0,,LongMethod
131,44,42,0,0,74,15,13,42,35,66,55,101,274.5830481,583.9173311,10.21428571,5964.298453,331.3499141,0.19463911,1.0,,LongMethod
45,42,42,1,1,0,2,3,13,9,18,16,27,52.86060384,108.0,2.076923077,224.3076923,12.46153846,0.036,1.0,,LongMethod
118,44,45,6,6,52,15,7,19,12,21,26,33,100.3621072,155.1145107,3.868421053,600.0482388,33.33601326,0.051704837,1.0,,LongMethod
86,56,69,4,4,2,11,14,45,35,60,59,95,300.4363582,558.8510897,9.333333333,5215.943504,289.7746391,0.186283697,1.0,,LongMethod
101,58,71,8,8,0,22,8,20,11,21,28,32,110.4385619,153.8353575,4.2,646.1085015,35.89491675,0.051278453,1.0,,LongMethod
154,95,112,30,6,16,20,13,121,129,249,134,378,885.288168,2670.981714,13.37603306,35727.1397,1984.841095,0.890327238,1.0,,LongMethod
75,29,53,4,2,13,7,3,6,4,7,9,11,20.26466251,34.86917502,1.75,61.02105628,3.390058682,0.011623058,1.0,,LongMethod
94,53,53,20,20,5,16,5,22,16,32,27,48,109.7171361,228.2346001,3.636363636,829.9440004,46.10800002,0.0760782,1.0,,LongMethod
51,44,41,2,2,5,3,3,9,6,12,12,18,33.28421252,64.52932501,2.0,129.05865,7.169925001,0.021509775,1.0,,LongMethod
112,53,75,16,16,10,11,9,29,19,34,38,53,169.4107739,278.1401582,5.275862069,1467.429111,81.52383948,0.092713386,1.0,,LongMethod
